Sep 11 11:14:14 internal-a2a-vs6-local-worker2 kubelet[207]: I0911 11:14:14.740369     207 reconciler_common.go:251] "operationExecutor.VerifyControllerAttachedVolume started for volume \"kube-api-access-xwmz6\" (UniqueName: \"kubernetes.io/projected/d254a733-58e0-49d3-a43e-4798517ddbd8-kube-api-access-xwmz6\") pod \"worker-869b5b7865-qkctq\" (UID: \"d254a733-58e0-49d3-a43e-4798517ddbd8\") " pod="pdf-checkpoint-prototype/worker-869b5b7865-qkctq"
Sep 11 11:14:28 internal-a2a-vs6-local-worker2 kubelet[207]: E0911 11:14:28.896797     207 status_manager.go:1041] "Failed to update status for pod" err="failed to patch status \"{\\\"metadata\\\":{\\\"uid\\\":\\\"d254a733-58e0-49d3-a43e-4798517ddbd8\\\"},\\\"status\\\":{\\\"$setElementOrder/conditions\\\":[{\\\"type\\\":\\\"PodReadyToStartContainers\\\"},{\\\"type\\\":\\\"Initialized\\\"},{\\\"type\\\":\\\"Ready\\\"},{\\\"type\\\":\\\"ContainersReady\\\"},{\\\"type\\\":\\\"PodScheduled\\\"}],\\\"conditions\\\":[{\\\"observedGeneration\\\":2,\\\"type\\\":\\\"PodReadyToStartContainers\\\"},{\\\"observedGeneration\\\":2,\\\"type\\\":\\\"Initialized\\\"},{\\\"observedGeneration\\\":2,\\\"type\\\":\\\"Ready\\\"},{\\\"observedGeneration\\\":2,\\\"type\\\":\\\"ContainersReady\\\"},{\\\"observedGeneration\\\":2,\\\"type\\\":\\\"PodScheduled\\\"}],\\\"observedGeneration\\\":2}}\" for pod \"pdf-checkpoint-prototype\"/\"worker-869b5b7865-qkctq\": pods \"worker-869b5b7865-qkctq\" not found" pod="pdf-checkpoint-prototype/worker-869b5b7865-qkctq"
Sep 11 11:14:28 internal-a2a-vs6-local-worker2 kubelet[207]: E0911 11:14:28.900358     207 status_manager.go:1018] "Failed to get status for pod" err="pods \"worker-869b5b7865-qkctq\" is forbidden: User \"system:node:internal-a2a-vs6-local-worker2\" cannot get resource \"pods\" in API group \"\" in the namespace \"pdf-checkpoint-prototype\": no relationship found between node 'internal-a2a-vs6-local-worker2' and this object" podUID="d254a733-58e0-49d3-a43e-4798517ddbd8" pod="pdf-checkpoint-prototype/worker-869b5b7865-qkctq"
Sep 11 11:14:29 internal-a2a-vs6-local-worker2 kubelet[207]: I0911 11:14:29.080049     207 reconciler_common.go:251] "operationExecutor.VerifyControllerAttachedVolume started for volume \"kube-api-access-v9cw9\" (UniqueName: \"kubernetes.io/projected/f650fb38-9d8d-43fb-a866-f6ddd949584d-kube-api-access-v9cw9\") pod \"worker-869b5b7865-f4x6x\" (UID: \"f650fb38-9d8d-43fb-a866-f6ddd949584d\") " pod="pdf-checkpoint-prototype/worker-869b5b7865-f4x6x"
Sep 11 11:14:29 internal-a2a-vs6-local-worker2 kubelet[207]: E0911 11:14:29.411274     207 status_manager.go:1018] "Failed to get status for pod" err="pods \"worker-869b5b7865-qkctq\" is forbidden: User \"system:node:internal-a2a-vs6-local-worker2\" cannot get resource \"pods\" in API group \"\" in the namespace \"pdf-checkpoint-prototype\": no relationship found between node 'internal-a2a-vs6-local-worker2' and this object" podUID="d254a733-58e0-49d3-a43e-4798517ddbd8" pod="pdf-checkpoint-prototype/worker-869b5b7865-qkctq"
Sep 11 11:14:31 internal-a2a-vs6-local-worker2 kubelet[207]: I0911 11:14:31.224813     207 reconciler_common.go:163] "operationExecutor.UnmountVolume started for volume \"kube-api-access-xwmz6\" (UniqueName: \"kubernetes.io/projected/d254a733-58e0-49d3-a43e-4798517ddbd8-kube-api-access-xwmz6\") pod \"d254a733-58e0-49d3-a43e-4798517ddbd8\" (UID: \"d254a733-58e0-49d3-a43e-4798517ddbd8\") "
Sep 11 11:14:31 internal-a2a-vs6-local-worker2 kubelet[207]: I0911 11:14:31.229342     207 operation_generator.go:781] UnmountVolume.TearDown succeeded for volume "kubernetes.io/projected/d254a733-58e0-49d3-a43e-4798517ddbd8-kube-api-access-xwmz6" (OuterVolumeSpecName: "kube-api-access-xwmz6") pod "d254a733-58e0-49d3-a43e-4798517ddbd8" (UID: "d254a733-58e0-49d3-a43e-4798517ddbd8"). InnerVolumeSpecName "kube-api-access-xwmz6". PluginName "kubernetes.io/projected", VolumeGIDValue ""
Sep 11 11:14:31 internal-a2a-vs6-local-worker2 kubelet[207]: I0911 11:14:31.325428     207 reconciler_common.go:299] "Volume detached for volume \"kube-api-access-xwmz6\" (UniqueName: \"kubernetes.io/projected/d254a733-58e0-49d3-a43e-4798517ddbd8-kube-api-access-xwmz6\") on node \"internal-a2a-vs6-local-worker2\" DevicePath \"\""
Sep 11 11:14:31 internal-a2a-vs6-local-worker2 kubelet[207]: E0911 11:14:31.418402     207 status_manager.go:1018] "Failed to get status for pod" err="pods \"worker-869b5b7865-qkctq\" is forbidden: User \"system:node:internal-a2a-vs6-local-worker2\" cannot get resource \"pods\" in API group \"\" in the namespace \"pdf-checkpoint-prototype\": no relationship found between node 'internal-a2a-vs6-local-worker2' and this object" podUID="d254a733-58e0-49d3-a43e-4798517ddbd8" pod="pdf-checkpoint-prototype/worker-869b5b7865-qkctq"
Sep 11 11:14:31 internal-a2a-vs6-local-worker2 kubelet[207]: E0911 11:14:31.976051     207 status_manager.go:1018] "Failed to get status for pod" err="pods \"worker-869b5b7865-qkctq\" is forbidden: User \"system:node:internal-a2a-vs6-local-worker2\" cannot get resource \"pods\" in API group \"\" in the namespace \"pdf-checkpoint-prototype\": no relationship found between node 'internal-a2a-vs6-local-worker2' and this object" podUID="d254a733-58e0-49d3-a43e-4798517ddbd8" pod="pdf-checkpoint-prototype/worker-869b5b7865-qkctq"
Sep 11 11:14:31 internal-a2a-vs6-local-worker2 kubelet[207]: I0911 11:14:31.977403     207 kubelet_volumes.go:163] "Cleaned up orphaned pod volumes dir" podUID="d254a733-58e0-49d3-a43e-4798517ddbd8" path="/var/lib/kubelet/pods/d254a733-58e0-49d3-a43e-4798517ddbd8/volumes"
